CODE,DECLARANT,YEAR,MONTH,PERIOD,IMPORT_QUANTITY_TON,EXPORT_QUANTITY_TON,CONSUMPTION_TON,CONSUMPTION_G,CONSUMPTION_AVO,POPULATION_SIZE,CONSUMPTION_AVO_PP
DEU,004 Fr Germany,2011,Sep,201109 Sep. 2011,2003.60,408.10,1595.50,1595500000.00,8863888.89,80222065,0.1105
DEU,004 Fr Germany,2011,Okt,201110 Oct. 2011,2086.40,296.90,1789.50,1789500000.00,9941666.67,80222065,0.1239
DEU,004 Fr Germany,2011,Nov,201111 Nov. 2011,2138.70,316.70,1822.00,1822000000.00,10122222.22,80222065,0.1262
DEU,004 Fr Germany,2011,Dec,201112 Dec. 2011,2728.20,468.00,2260.20,2260200000.00,12556666.67,80222065,0.1565
DEU,004 Fr Germany,2012,Jan,201201 Jan. 2012,2630.50,388.90,2241.60,2241600000.00,12453333.33,80327900,0.1550
DEU,004 Fr Germany,2012,Feb,201202 Feb. 2012,2561.80,607.70,1954.10,1954100000.00,10856111.11,80327900,0.1351
DEU,004 Fr Germany,2012,Mrt,201203 Mar. 2012,2460.90,415.70,2045.20,2045200000.00,11362222.22,80327900,0.1414
DEU,004 Fr Germany,2012,Apr,201204 Apr. 2012,2040.20,439.50,1600.70,1600700000.00,8892777.78,80327900,0.1107
DEU,004 Fr Germany,2012,Mei,201205 May. 2012,2737.70,454.90,2282.80,2282800000.00,12682222.22,80327900,0.1579
DEU,004 Fr Germany,2012,Jun,201206 Jun. 2012,2131.10,392.30,1738.80,1738800000.00,9660000.00,80327900,0.1203
DEU,004 Fr Germany,2012,Jul,201207 Jul. 2012,2210.80,328.90,1881.90,1881900000.00,10455000.00,80327900,0.1302
DEU,004 Fr Germany,2012,Aug,201208 Aug. 2012,2391.70,257.90,2133.80,2133800000.00,11854444.44,80327900,0.1476
DEU,004 Fr Germany,2012,Sep,201209 Sep. 2012,2036.70,325.80,1710.90,1710900000.00,9505000.00,80327900,0.1183
DEU,004 Fr Germany,2012,Okt,201210 Oct. 2012,2333.80,263.20,2070.60,2070600000.00,11503333.33,80327900,0.1432
DEU,004 Fr Germany,2012,Nov,201211 Nov. 2012,2377.50,265.70,2111.80,2111800000.00,11732222.22,80327900,0.1461
DEU,004 Fr Germany,2012,Dec,201212 Dec. 2012,3085.70,444.10,2641.60,2641600000.00,14675555.56,80327900,0.1827
DEU,004 Fr Germany,2013,Jan,201301 Jan. 2013,2678.80,514.10,2164.70,2164700000.00,12026111.11,80523746,0.1493
DEU,004 Fr Germany,2013,Feb,201302 Feb. 2013,2673.70,422.40,2251.30,2251300000.00,12507222.22,80523746,0.1553
DEU,004 Fr Germany,2013,Mrt,201303 Mar. 2013,2757.70,472.00,2285.70,2285700000.00,12698333.33,80523746,0.1577
DEU,004 Fr Germany,2013,Apr,201304 Apr. 2013,2766.50,424.30,2342.20,2342200000.00,13012222.22,80523746,0.1616
DEU,004 Fr Germany,2013,Mei,201305 May. 2013,2851.10,486.50,2364.60,2364600000.00,13136666.67,80523746,0.1631
DEU,004 Fr Germany,2013,Jun,201306 Jun. 2013,2361.70,496.90,1864.80,1864800000.00,10360000.00,80523746,0.1287
DEU,004 Fr Germany,2013,Jul,201307 Jul. 2013,2568.80,364.00,2204.80,2204800000.00,12248888.89,80523746,0.1521
DEU,004 Fr Germany,2013,Aug,201308 Aug. 2013,2774.70,359.90,2414.80,2414800000.00,13415555.56,80523746,0.1666
DEU,004 Fr Germany,2013,Sep,201309 Sep. 2013,1954.70,423.60,1531.10,1531100000.00,8506111.11,80523746,0.1056
DEU,004 Fr Germany,2013,Okt,201310 Oct. 2013,3151.20,414.80,2736.40,2736400000.00,15202222.22,80523746,0.1888
DEU,004 Fr Germany,2013,Nov,201311 Nov. 2013,2245.30,410.00,1835.30,1835300000.00,10196111.11,80523746,0.1266
DEU,004 Fr Germany,2013,Dec,201312 Dec. 2013,2649.80,477.60,2172.20,2172200000.00,12067777.78,80523746,0.1499
DEU,004 Fr Germany,2014,Jan,201401 Jan. 2014,3241.10,423.90,2817.20,2817200000.00,15651111.11,80767463,0.1938
DEU,004 Fr Germany,2014,Feb,201402 Feb. 2014,2983.80,515.70,2468.10,2468100000.00,13711666.67,80767463,0.1698
DEU,004 Fr Germany,2014,Mrt,201403 Mar. 2014,2923.60,477.60,2446.00,2446000000.00,13588888.89,80767463,0.1682
DEU,004 Fr Germany,2014,Apr,201404 Apr. 2014,3453.50,599.50,2854.00,2854000000.00,15855555.56,80767463,0.1963
DEU,004 Fr Germany,2014,Mei,201405 May. 2014,2972.80,570.60,2402.20,2402200000.00,13345555.56,80767463,0.1652
DEU,004 Fr Germany,2014,Jun,201406 Jun. 2014,3015.80,445.50,2570.30,2570300000.00,14279444.44,80767463,0.1768
DEU,004 Fr Germany,2014,Jul,201407 Jul. 2014,2647.40,333.80,2313.60,2313600000.00,12853333.33,80767463,0.1591
DEU,004 Fr Germany,2014,Aug,201408 Aug. 2014,3017.40,381.90,2635.50,2635500000.00,14641666.67,80767463,0.1813
DEU,004 Fr Germany,2014,Sep,201409 Sep. 2014,2760.10,361.80,2398.30,2398300000.00,13323888.89,80767463,0.1650
DEU,004 Fr Germany,2014,Okt,201410 Oct. 2014,3620.30,428.50,3191.80,3191800000.00,17732222.22,80767463,0.2195
DEU,004 Fr Germany,2014,Nov,201411 Nov. 2014,3474.10,467.30,3006.80,3006800000.00,16704444.44,80767463,0.2068
DEU,004 Fr Germany,2014,Dec,201412 Dec. 2014,3604.10,724.50,2879.60,2879600000.00,15997777.78,80767463,0.1981
